" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-B:C2";"ASPARTATE TRANSAMINASE";"PCCC 2-B";"535719";"143,000";"9,000";"-0,623";"41";"-0,039";"137,390";"2,727";"1,985";"In use"
"";"C6000-B:C2";"ASPARTATE TRANSAMINASE";"PCCC 1-B";"525205";"44,700";"2,700";"-0,342";"48";"-0,021";"43,777";"1,293";"2,954";"In use"
"";"C6000-B:E3-2";"BETA-HCG";"RIAP L1-B";"2179EC";"11,400";"1,140";"0,155";"37";"0,015";"11,576";"0,269";"2,327";"In use"
"";"C6000-B:E3-2";"BETA-HCG";"RIAP L3-B";"2181EC";"272,000";"27,000";"-0,359";"36";"-0,036";"262,297";"7,018";"2,675";"In use"
"";"C6000-A:E1-1";"BETA-HCG";"RIAP L3";"2181EC";"272,000";"27,000";"-0,587";"38";"-0,058";"256,147";"9,869";"3,853";"In use"
"";"C6000-A:E1-1";"BETA-HCG";"RIAP L1";"2179EC";"11,400";"1,140";"0,035";"38";"0,003";"11,440";"0,620";"5,422";"In use"
"";"C6000-B:C2";"BICARBONATE";"AMM-N";"644004";"17,000";"1,000";"0,812";"34";"0,048";"17,812";"0,766";"4,302";"In use"
"";"C6000-B:C2";"BICARBONATE";"AMM-P";"644006";"30,500";"1,800";"-0,441";"33";"-0,026";"29,706";"0,658";"2,214";"In use"
"";"C6000-A:E2-1";"CA 125";"RIAP L3";"2181EC";"182,000";"18,000";"0,506";"39";"0,050";"191,110";"6,437";"3,368";"In use"
"";"C6000-A:E2-1";"CA 125";"RIAP L1";"2179EC";"19,000";"1,900";"0,377";"37";"0,038";"19,717";"0,909";"4,613";"In use"
"";"C6000-A:E2-1";"CA 19-9";"RIAP L3";"2181EC";"165,000";"16,500";"0,255";"40";"0,025";"169,203";"7,397";"4,371";"In use"
"";"C6000-A:E2-1";"CA 19-9";"RIAP L1";"2179EC";"20,800";"2,100";"0,259";"39";"0,026";"21,344";"0,947";"4,436";"In use"
"";"C6000-A:C1";"CALCIUM";"PCCC 1";"525205";"2,140";"0,090";"-0,543";"44";"-0,023";"2,091";"0,033";"1,595";"In use"
"";"C6000-A:C1";"CALCIUM";"PCCC 2";"535719";"3,470";"0,140";"-0,478";"43";"-0,019";"3,403";"0,050";"1,470";"In use"
"";"C6000-B:C2";"CALCIUM";"PCCC 2-B";"535719";"3,470";"0,140";"-0,364";"40";"-0,015";"3,419";"0,043";"1,265";"In use"
"";"C6000-B:C2";"CALCIUM";"PCCC 1-B";"525205";"2,140";"0,090";"-0,644";"48";"-0,027";"2,082";"0,051";"2,429";"In use"
"";"C6000-B:C2";"CALCIUM URINE";"Ran-Liq 2";"1209UC";"1,950";"0,100";"0,443";"7";"0,023";"1,994";"0,071";"3,579";"Study"
"";"C6000-B:C2";"CALCIUM URINE";"Ran-Liq 3";"1210UC";"2,830";"0,140";"0,235";"7";"0,012";"2,863";"0,073";"2,565";"Study"
"";"C6000-B:C2";"CALCIUM URINE";"Ran-Liq 3";"1238UC";"2,780";"0,140";"0,020";"28";"0,001";"2,783";"0,061";"2,202";"In use"
"";"C6000-B:C2";"CALCIUM URINE";"Ran-Liq 2";"1237UC";"1,870";"0,100";"0,125";"28";"0,007";"1,883";"0,045";"2,387";"In use"
"";"C6000-A:E1-2";"CARCINOEMBRYONIC AG";"RIAP L3";"2181EC";"50,000";"5,000";"0,566";"34";"0,057";"52,831";"2,601";"4,923";"In use"
"";"C6000-A:E1-2";"CARCINOEMBRYONIC AG";"RIAP L1";"2179EC";"4,080";"0,410";"0,405";"32";"0,041";"4,246";"0,229";"5,400";"In use"
"";"C6000-B:ISE1";"CHLORIDE";"s-PCCC 2-B";"535719";"106,000";"3,000";"0,223";"82";"0,006";"106,668";"2,191";"2,054";"In use"
"";"C6000-A:ISE1";"CHLORIDE";"s-PCCC 2";"535719";"103,000";"3,000";"0,802";"95";"0,023";"105,407";"1,817";"1,724";"In use"
"";"C6000-A:ISE1";"CHLORIDE";"s-PCCC 1";"525205";"83,700";"2,500";"0,308";"95";"0,009";"84,471";"1,672";"1,979";"In use"
"";"C6000-B:ISE1";"CHLORIDE";"s-PCCC 1-B";"525205";"83,700";"2,500";"0,664";"83";"0,020";"85,359";"2,038";"2,388";"In use"
"";"C6000-B:ISE1";"CHLORIDE URINE";"Ran-Liq 2";"1209UC";"69,600";"5,200";"0,086";"11";"0,006";"70,045";"3,918";"5,593";"Study"
"";"C6000-B:ISE1";"CHLORIDE URINE";"Ran-Liq 3";"1210UC";"170,000";"12,500";"0,033";"11";"0,002";"170,418";"10,063";"5,905";"Study"
"";"C6000-B:ISE1";"CHLORIDE URINE";"Ran-Liq 3";"1238UC";"181,000";"13,500";"-0,146";"33";"-0,011";"179,024";"2,437";"1,361";"In use"
"";"C6000-B:ISE1";"CHLORIDE URINE";"Ran-Liq 2";"1237UC";"76,200";"5,700";"0,567";"32";"0,042";"79,431";"1,791";"2,255";"In use"
"";"C6000-B:E3-2";"CMV IGG";"PC CMVIGG1";"615232";"1,122";"0,075";"-0,020";"32";"-0,001";"1,121";"0,041";"3,677";"In use"
"";"C6000-B:E3-2";"CMV IGG";"PC CMVIGG2";"615234";"20,338";"0,700";"0,287";"33";"0,010";"20,539";"0,655";"3,190";"In use"
"";"C6000-B:C2";"COMPLEMENT C3";"PCCC 2-B";"535719";"1,550";"0,120";"0,438";"28";"0,034";"1,603";"0,055";"3,416";"In use"
"";"C6000-B:C2";"COMPLEMENT C3";"PCCC 1-B";"525205";"0,926";"0,074";"0,718";"34";"0,057";"0,979";"0,033";"3,336";"In use"
"";"C6000-B:C2";"COMPLEMENT C4";"PCCC 2-B";"535719";"0,227";"0,018";"-0,200";"27";"-0,016";"0,223";"0,003";"1,444";"In use"
"";"C6000-B:C2";"COMPLEMENT C4";"PCCC 1-B";"525205";"0,145";"0,012";"-0,490";"32";"-0,041";"0,139";"0,003";"2,256";"In use"
"";"C6000-A:C1";"CONJUGATED BILIRUBIN";"MAS BILIRUBIN 3";"BC24033A";"177,000";"17,300";"-0,130";"36";"-0,013";"174,744";"5,192";"2,971";"In use"
"";"C6000-B:C2";"CONJUGATED BILIRUBIN";"MAS BILIRUBIN-B";"BC24033A";"177,000";"17,300";"-0,080";"35";"-0,008";"175,609";"6,322";"3,600";"In use"
"";"C6000-A:C1";"CONJUGATED BILIRUBIN";"PCCC 1";"525205";"16,400";"1,300";"-0,132";"45";"-0,010";"16,229";"0,607";"3,738";"In use"
"";"C6000-A:C1";"CONJUGATED BILIRUBIN";"PCCC 2";"535719";"44,900";"3,600";"-0,343";"44";"-0,027";"43,666";"1,324";"3,032";"In use"
"";"C6000-B:C2";"CONJUGATED BILIRUBIN";"PCCC 2-B";"535719";"44,900";"3,600";"-0,306";"37";"-0,025";"43,797";"1,305";"2,979";"In use"
"";"C6000-B:C2";"CONJUGATED BILIRUBIN";"PCCC 1-B";"525205";"16,400";"1,300";"-0,021";"44";"-0,002";"16,373";"0,505";"3,082";"In use"
"";"C6000-A:E1-2";"CORTISOL II";"RIAP L1";"2179EC";"201,000";"25,000";"-0,119";"39";"-0,015";"198,015";"6,715";"3,391";"In use"
"";"C6000-A:E1-2";"CORTISOL II";"RIAP L2";"2228EC";"660,000";"82,500";"-0,009";"38";"-0,001";"659,237";"19,443";"2,949";"In use"
"";"C6000-A:E2-2";"C-peptide";"RIAP L1";"2179EC";"1,940";"0,160";"-1,167";"54";"-0,096";"1,753";"0,125";"7,149";"In use"
"";"C6000-A:E2-2";"C-peptide";"RIAP L2";"2228EC";"6,160";"0,770";"-0,301";"52";"-0,038";"5,928";"0,406";"6,854";"In use"
"";"C6000-A:C1";"C-REACTIVE PROTEIN";"PCCC 1";"525205";"5,680";"0,210";"-0,654";"41";"-0,024";"5,543";"0,101";"1,815";"In use"
"";"C6000-A:C1";"C-REACTIVE PROTEIN";"PCCC 2";"535719";"51,400";"3,400";"-0,455";"40";"-0,030";"49,853";"1,486";"2,981";"In use"
"";"C6000-B:C2";"C-REACTIVE PROTEIN";"PCCC 2-B";"535719";"51,400";"3,400";"-0,128";"38";"-0,008";"50,964";"1,570";"3,080";"In use"
"";"C6000-B:C2";"C-REACTIVE PROTEIN";"PCCC 1-B";"525205";"5,680";"0,210";"-0,700";"44";"-0,026";"5,533";"0,125";"2,251";"In use"
"";"C6000-A:C1";"CREATINE KINASE Gen 2";"PCCC 1";"525205";"153,000";"9,000";"-0,393";"39";"-0,023";"149,462";"1,945";"1,301";"In use"
"";"C6000-A:C1";"CREATINE KINASE Gen 2";"PCCC 2";"535719";"267,000";"16,000";"-0,263";"38";"-0,016";"262,789";"2,961";"1,127";"In use"
"";"C6000-A:C1";"CREATININE";"PCCC 1";"525205";"88,700";"5,300";"0,068";"117";"0,004";"89,060";"1,984";"2,228";"In use"
"";"C6000-A:C1";"CREATININE";"PCCC 2";"535719";"329,000";"20,000";"0,199";"115";"0,012";"332,983";"7,183";"2,157";"In use"
"";"C6000-B:C2";"CREATININE";"PCCC 2-B";"535719";"329,000";"20,000";"-0,424";"109";"-0,026";"320,514";"6,271";"1,957";"In use"
"";"C6000-B:C2";"CREATININE";"PCCC 1-B";"525205";"88,700";"5,300";"-0,379";"111";"-0,023";"86,694";"1,589";"1,832";"In use"
"";"C6000-A:C1";"CREATININE URINE";"Ran-Liq 2";"1209UC";"6,860";"0,690";"-0,977";"9";"-0,098";"6,186";"0,100";"1,612";"Study"
"";"C6000-A:C1";"CREATININE URINE";"Ran-Liq 3";"1210UC";"15,600";"1,550";"-0,953";"8";"-0,095";"14,123";"0,208";"1,476";"Study"
"";"C6000-A:C1";"CREATININE URINE";"Ran-Liq 3";"1238UC";"15,500";"1,550";"-0,290";"92";"-0,029";"15,050";"0,428";"2,841";"In use"
"";"C6000-A:C1";"CREATININE URINE";"Ran-Liq 2";"1237UC";"6,680";"0,670";"-0,326";"96";"-0,033";"6,461";"0,171";"2,652";"In use"
"";"DCA UCT";"CREATP";"DCA MALB/CREAT HIGH";"0060";"36,500";"2,433";"0,144";"2";"0,010";"36,850";"0,212";"0,576";"In use"
"";"DCA UCT";"CREATP";"DCA MALB/ CREAT LOW";"0060";"9,100";"0,600";"-0,333";"2";"-0,022";"8,900";"0,141";"1,589";"In use"
"";"LIAISON XL";"Cytomegalovirus IgM";"CMV IgM II NC";"2520210";"5,000";"0,667";"0,000";"4";"0,000";"5,000";"0,000";"0,000";"In use"
"";"LIAISON XL";"Cytomegalovirus IgM";"CMV IgM II PC";"2530210";"30,950";"5,500";"1,245";"4";"0,221";"37,800";"0,779";"2,061";"In use"
"";"C6000-A:E2-2";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L1";"2179EC";"2,680";"0,270";"0,311";"36";"0,031";"2,764";"0,276";"9,993";"In use"
"";"C6000-A:E2-2";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L2";"2228EC";"17,500";"1,750";"0,233";"38";"0,023";"17,908";"1,611";"8,998";"In use"
"";"LIAISON XL";"Epstein Barr Virus NA IgG";"EBNA IgG NC";"5400480";"3,000";"0,667";"0,000";"5";"0,000";"3,000";"0,000";"0,000";"In use"
"";"LIAISON XL";"Epstein Barr Virus NA IgG";"EBNA IgG PC";"5630470";"61,000";"9,000";"-0,187";"5";"-0,028";"59,320";"1,246";"2,100";"In use"
"";"LIAISON XL";"Epstein Barr Virus VCA IgM";"EBV IgM NC";"5420510";"10,000";"2,500";"0,000";"4";"0,000";"10,000";"0,000";"0,000";"In use"
"";"LIAISON XL";"Epstein Barr Virus VCA IgM";"EBV IgM PC";"5650560";"95,600";"14,133";"-1,477";"4";"-0,218";"74,725";"2,532";"3,388";"In use"
"";"C6000-A";"FERRITIN";"PC V1";"612148";"146,000";"13,100";"0,170";"3";"0,015";"148,233";"4,136";"2,790";"In use"
"";"C6000-A:E2-1";"FERRITIN";"PC V1";"612148";"146,000";"13,100";"0,032";"51";"0,003";"146,425";"2,376";"1,623";"In use"
"";"C6000-A:E2-1";"FERRITIN";"sRIAP L1";"2179EC";"20,570";"2,030";"1,559";"92";"0,154";"23,735";"1,108";"4,669";"In use"
"";"C6000-A:E2-1";"FERRITIN";"RIAP L3";"2181EC";"318,000";"32,000";"0,802";"45";"0,081";"343,664";"10,233";"2,978";"In use"
"";"C6000-A:E2-1";"FERRITIN";"sRIAP L3";"2181EC";"318,000";"32,000";"0,765";"90";"0,077";"342,476";"7,125";"2,081";"In use"
"";"C6000-A:E1-2";"FOLLICLE STIMULATING HORMONE";"RIAP L3";"2181EC";"54,200";"5,400";"0,484";"37";"0,048";"56,815";"1,230";"2,165";"In use"
"";"C6000-A:E1-2";"FOLLICLE STIMULATING HORMONE";"RIAP L1";"2179EC";"6,030";"0,605";"0,927";"39";"0,093";"6,591";"0,155";"2,359";"In use"
"";"C6000-A:E1-2";"FREE PSA";"RIAP L1";"2179EC";"1,190";"0,149";"-0,294";"35";"-0,037";"1,146";"0,048";"4,206";"In use"
"";"C6000-A:E1-2";"FREE PSA";"RIAP L2";"2228EC";"9,210";"1,150";"-0,141";"34";"-0,018";"9,047";"0,255";"2,819";"In use"
"";"C6000-A:E1-1";"Free T4 Gen 3";"sRIAP L1";"2179EC";"13,700";"1,700";"0,147";"77";"0,018";"13,951";"0,712";"5,101";"In use"
"";"C6000-A:E1-1";"Free T4 Gen 3";"sRIAP L2";"2228EC";"29,900";"3,750";"0,099";"76";"0,012";"30,272";"1,288";"4,253";"In use"
"";"C6000-A:C1";"GAMMA-GLUTAMYL TRANSFERASE";"PCCC 1";"525205";"58,200";"3,500";"-0,258";"44";"-0,016";"57,295";"0,851";"1,486";"In use"
"";"C6000-A:C1";"GAMMA-GLUTAMYL TRANSFERASE";"PCCC 2";"535719";"229,000";"14,000";"-0,350";"43";"-0,021";"224,093";"3,315";"1,479";"In use"
"";"C6000-B:C2";"GAMMA-GLUTAMYL TRANSFERASE";"PCCC 2-B";"535719";"229,000";"14,000";"-0,474";"38";"-0,029";"222,368";"2,432";"1,094";"In use"
"";"C6000-B:C2";"GAMMA-GLUTAMYL TRANSFERASE";"PCCC 1-B";"525205";"58,200";"3,500";"-0,518";"44";"-0,031";"56,386";"1,298";"2,302";"In use"
"";"C6000-A:C1";"GLUCOSE";"PCCC 1";"525205";"5,760";"0,290";"-0,409";"41";"-0,021";"5,641";"0,081";"1,432";"In use"
"";"C6000-A:C1";"GLUCOSE";"PCCC 2";"535719";"13,600";"0,700";"-0,656";"39";"-0,034";"13,141";"0,170";"1,294";"In use"
"";"C6000-B:C2";"GLUCOSE";"PCCC 2-B";"535719";"13,600";"0,700";"-0,504";"35";"-0,026";"13,247";"0,268";"2,020";"In use"
"";"C6000-B:C2";"GLUCOSE";"PCCC 1-B";"525205";"5,760";"0,290";"-0,327";"41";"-0,016";"5,665";"0,116";"2,054";"In use"
"";"C6000-A:C1";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1P";"617429";"9,690";"0,580";"-0,350";"55";"-0,021";"9,487";"0,206";"2,166";"In use"
"";"C6000-B:C2";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1P";"617429";"9,690";"0,580";"0,078";"81";"0,005";"9,735";"0,132";"1,355";"In use"
"";"C6000-B:C2";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1N";"617428";"5,700";"0,340";"0,150";"81";"0,009";"5,751";"0,105";"1,824";"In use"
"";"C6000-A:C1";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1N-VER";"617428";"5,700";"0,340";"-0,128";"55";"-0,008";"5,656";"0,096";"1,693";"In use"
"";"C6000-A:C1";"H INDEX";"HAEMOL";"88270";"200,000";"20,000";"0,071";"7";"0,007";"201,429";"4,429";"2,199";"In use"
"";"C6000-A";"H INDEX";"HAEMOL";"88270";"200,000";"20,000";"0,000";"1";"0,000";"200,000";"0,000";"0,000";"In use"
"";"C6000-B:C2";"H INDEX";"HAEMOL-B";"88270";"200,000";"20,000";"-0,113";"4";"-0,011";"197,750";"2,500";"1,264";"In use"
"";"C6000-B:ISE1";"H INDEX";"HAEMOL-B";"88270";"200,000";"20,000";"-0,150";"1";"-0,015";"197,000";"0,000";"0,000";"In use"
"";"C6000-B:C2";"HAPTOGLOBIN";"PCCC 2-B";"535719";"1,210";"0,100";"0,451";"40";"0,037";"1,255";"0,016";"1,296";"In use"
"";"C6000-B:C2";"HAPTOGLOBIN";"PCCC 1-B";"525205";"0,765";"0,061";"0,661";"44";"0,053";"0,805";"0,014";"1,702";"In use"
"";"DCA OPD";"HBA1C POC";"DCA  HBA1c Normal";"0169";"5,100";"0,330";"0,152";"2";"0,010";"5,150";"0,071";"1,373";"In use"
"";"DCA UCT";"HBA1C POC";"DCA  HBA1c Normal";"0169";"5,100";"0,330";"0,303";"2";"0,020";"5,200";"0,000";"0,000";"In use"
"";"DCA OPD";"HBA1C POC";"DCA  HBA1c Abnormal";"0169";"10,800";"0,733";"0,182";"3";"0,012";"10,933";"0,058";"0,528";"In use"
"";"DCA UCT";"HBA1C POC";"DCA  HBA1c Abnormal";"0169";"10,800";"0,733";"0,205";"2";"0,014";"10,950";"0,212";"1,937";"In use"
"";"C6000-A:C1";"HDL CHOLESTEROL";"PCCC 1";"525205";"0,719";"0,058";"1,056";"39";"0,085";"0,780";"0,018";"2,343";"In use"
"";"C6000-A:C1";"HDL CHOLESTEROL";"PCCC 2";"535719";"1,520";"0,120";"0,772";"38";"0,061";"1,613";"0,040";"2,496";"In use"
"";"C6000-B:E3-2";"HEP A IGM";"PC HAVIGM1";"641894";"0,279";"0,011";"0,422";"3";"0,017";"0,284";"0,003";"0,887";"Study"
"";"C6000-B:E3-2";"HEP A IGM";"PC HAVIGM2";"641897";"2,370";"0,320";"-2,300";"5";"-0,311";"1,634";"1,232";"75,387";"Study"
"";"C6000-B:E3-2";"HEP A IGM";"PC HAVIGM1";"684476";"0,250";"0,083";"0,382";"37";"0,127";"0,282";"0,007";"2,494";"In use"
"";"C6000-B:E3-2";"HEP A IGM";"PC HAVIGM2";"684478";"2,401";"0,350";"-0,168";"36";"-0,024";"2,343";"0,139";"5,926";"In use"
"";"C6000-B:E3-2";"HEP A TOTAL";"PC HAV1";"629185";"1,330";"0,080";"-0,138";"40";"-0,008";"1,319";"0,037";"2,778";"In use"
"";"C6000-B:E3-2";"HEP A TOTAL";"PC HAV2";"629243";"0,362";"0,040";"-0,140";"40";"-0,015";"0,356";"0,009";"2,523";"In use"
"";"C6000-B:E3-1";"HEP B CORE IGM";"PC HBCIGM1";"582184";"0,062";"0,010";"-0,551";"40";"-0,088";"0,057";"0,003";"5,723";"In use"
"";"C6000-B:E3-1";"HEP B CORE IGM";"PC HBCIGM2";"582187";"2,811";"0,300";"-0,413";"41";"-0,044";"2,688";"0,181";"6,748";"In use"
"";"C6000-B:E3-1";"HEP B CORE TOTAL AB";"PC AHBCII 1";"574638";"2,319";"0,070";"0,103";"34";"0,003";"2,326";"0,031";"1,351";"In use"
"";"C6000-B:E3-1";"HEP B CORE TOTAL AB";"PC AHBCII 2";"574635";"0,592";"0,035";"0,009";"34";"0,001";"0,592";"0,022";"3,667";"In use"
"";"C6000-B:E3-2";"HEP B SURFACE AB";"PC AHBS1";"664734";"2,000";"0,300";"0,000";"39";"0,000";"2,000";"0,000";"0,000";"In use"
"";"C6000-B:E3-2";"HEP B SURFACE AB";"PC AHBS2";"664737";"90,984";"4,000";"0,473";"40";"0,021";"92,877";"3,165";"3,408";"In use"
"";"C6000-B:E4-1";"HEP B SURFACE AG";"PC HBSAG2";"630816";"3,240";"0,120";"-0,349";"58";"-0,013";"3,198";"0,096";"3,010";"Study"
"";"C6000-B:E4-2";"HEP B SURFACE AG";"PC HBSAG2";"630816";"3,281";"0,120";"-0,100";"55";"-0,004";"3,269";"0,120";"3,667";"Study"
"";"C6000-B:E4-1";"HEP B SURFACE AG";"PC HBSAG1";"630808";"0,563";"0,055";"-0,339";"60";"-0,033";"0,544";"0,043";"7,940";"Study"
"";"C6000-B:E4-2";"HEP B SURFACE AG";"PC HBSAG1";"630808";"0,592";"0,055";"-0,013";"59";"-0,001";"0,591";"0,059";"10,059";"Study"
"";"C6000-B:E3-1";"HEP C ANTIBODY";"PC AHCV1";"629660";"0,056";"0,010";"0,489";"50";"0,087";"0,061";"0,003";"4,876";"In use"
